time_s,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm
18.960580,0.120000,0.120000,-0.280000,0.000000,0.000000,0.000000
18.980634,0.060000,0.180000,0.000000,-0.020000,0.000000,0.000000
19.000552,0.060000,0.160000,0.120000,-0.020000,0.000000,0.000000
19.020616,-0.100000,0.000000,0.100000,0.000000,0.000000,0.000000
19.040670,0.100000,0.120000,0.020000,0.000000,0.000000,0.000000
19.060584,0.080000,0.260000,0.020000,-0.020000,0.000000,0.000000
19.080615,0.120000,0.140000,0.200000,-0.020000,0.000000,0.000000
19.100682,0.020000,0.120000,0.060000,0.000000,0.000000,0.000000
19.120599,0.100000,0.020000,0.160000,0.000000,0.000000,0.000000
19.140642,0.180000,0.120000,0.140000,0.000000,0.000000,0.000000
19.160690,0.080000,0.180000,0.180000,-0.020000,0.000000,0.000000
19.180627,-0.080000,0.000000,0.220000,0.000000,0.000000,0.000000
19.200676,0.140000,0.180000,0.240000,-0.020000,0.000000,0.000000
19.220583,0.120000,-0.020000,0.320000,0.000000,0.000000,0.000000
19.240635,0.120000,0.100000,0.180000,0.000000,0.000000,0.000000
19.260673,0.120000,0.280000,0.280000,-0.020000,0.000000,0.000000
19.280591,0.000000,0.280000,0.140000,-0.020000,0.000000,0.000000
19.300714,0.220000,0.180000,0.260000,-0.020000,0.000000,0.000000
19.320687,0.060000,0.060000,0.220000,0.000000,0.000000,0.000000
19.340600,0.120000,0.140000,0.220000,0.000000,0.000000,0.000000
19.360690,0.020000,0.080000,0.100000,0.000000,0.000000,0.000000
19.380575,0.160000,0.140000,0.120000,0.000000,0.000000,0.000000
19.400619,0.000000,0.140000,0.180000,-0.020000,0.000000,0.000000
19.420707,0.060000,0.200000,0.020000,-0.020000,0.000000,0.000000
19.440602,0.020000,0.080000,0.120000,0.000000,0.000000,0.000000
19.460667,0.120000,0.140000,0.320000,-0.020000,0.000000,0.000000
19.480713,0.000000,0.180000,0.180000,-0.020000,0.000000,0.000000
19.500617,0.080000,0.120000,0.220000,0.000000,0.000000,0.000000
19.520682,-0.100000,0.000000,0.180000,0.000000,0.000000,0.000000
19.540751,0.040000,0.120000,0.180000,0.000000,0.000000,0.000000
19.560630,0.060000,0.100000,0.220000,0.000000,0.000000,0.000000
19.580739,0.060000,0.300000,0.200000,-0.020000,0.000000,0.000000
19.600657,0.020000,0.140000,0.280000,0.000000,0.000000,0.000000
19.620701,-0.020000,0.040000,0.180000,0.000000,0.000000,0.000000
19.640713,0.000000,0.180000,0.200000,-0.020000,0.000000,0.000000
19.660646,0.040000,0.200000,0.180000,-0.020000,0.000000,0.000000
19.680700,0.140000,0.160000,0.160000,-0.020000,0.000000,0.000000
19.700659,0.040000,0.200000,0.220000,-0.020000,0.000000,0.000000
19.720684,0.100000,0.060000,0.380000,0.000000,0.000000,0.000000
19.740729,0.020000,0.060000,0.220000,0.000000,0.000000,0.000000
19.760791,0.000000,0.040000,0.020000,0.000000,0.000000,0.000000
19.780694,-0.020000,0.060000,0.220000,-0.020000,0.000000,0.000000
19.800611,0.060000,0.140000,0.140000,-0.020000,0.000000,0.000000
19.820665,0.060000,0.080000,0.280000,0.000000,0.000000,0.000000
19.840714,0.140000,0.140000,0.300000,-0.020000,0.000000,0.000000
19.860625,0.000000,0.180000,0.120000,-0.020000,0.000000,0.000000
19.880690,0.020000,0.060000,0.140000,0.000000,0.000000,0.000000
19.900570,0.100000,0.080000,0.020000,0.000000,0.000000,0.000000
19.920629,0.000000,0.080000,0.140000,0.000000,0.000000,0.000000
19.940695,0.040000,0.100000,0.120000,0.000000,0.000000,0.000000
19.960748,0.140000,0.060000,0.260000,0.000000,0.000000,0.000000
19.980649,0.180000,0.140000,0.240000,0.000000,0.000000,0.000000
20.000691,0.060000,-0.020000,0.220000,0.000000,0.000000,0.000000
20.020632,0.120000,0.020000,0.080000,0.000000,0.000000,0.000000
20.040685,0.080000,0.120000,0.280000,0.000000,0.000000,0.000000
20.060707,0.000000,0.040000,0.320000,0.000000,0.000000,0.000000
20.080638,0.020000,0.180000,0.120000,-0.020000,0.000000,0.000000
20.100670,0.060000,0.200000,0.200000,-0.020000,0.000000,0.000000
20.120618,0.020000,0.120000,0.280000,-0.020000,0.000000,0.000000
20.140657,0.000000,0.120000,0.060000,0.000000,0.000000,0.000000
20.160728,0.040000,0.100000,0.000000,0.000000,0.000000,0.000000
20.180815,0.040000,0.140000,0.120000,-0.020000,0.000000,0.000000
20.200667,0.020000,0.060000,0.240000,0.000000,0.000000,0.000000
20.220678,0.180000,0.080000,0.160000,0.000000,0.000000,0.000000
20.240651,0.100000,0.100000,-0.040000,-0.020000,0.000000,0.000000
20.260698,0.060000,0.240000,0.020000,-0.020000,0.000000,0.000000
20.280768,0.000000,0.120000,0.220000,-0.020000,0.000000,0.000000
20.300674,0.040000,0.100000,0.120000,0.000000,0.000000,0.000000
20.320578,0.180000,0.120000,0.060000,0.000000,0.000000,0.000000
20.340621,0.000000,0.120000,0.180000,0.000000,0.000000,0.000000
20.360706,-0.020000,0.020000,-0.060000,0.000000,0.000000,0.000000
20.380623,0.200000,0.040000,0.240000,0.000000,0.020000,0.000000
20.400647,0.000000,0.100000,0.000000,0.000000,0.000000,0.000000
20.420686,0.080000,0.140000,0.220000,-0.020000,0.000000,0.000000
20.440606,-0.020000,0.060000,0.060000,0.000000,0.000000,0.000000
20.460675,0.020000,0.120000,0.140000,0.000000,0.000000,0.000000
20.480738,0.180000,0.080000,0.200000,0.000000,0.020000,0.000000
20.500650,0.060000,0.060000,0.080000,0.000000,0.000000,0.000000
20.520696,0.080000,-0.180000,0.100000,0.000000,0.000000,0.000000
20.540618,0.080000,-0.020000,0.100000,0.000000,0.000000,0.000000
20.560657,0.140000,-0.020000,0.060000,0.000000,0.000000,0.000000
20.580590,0.100000,-0.040000,0.000000,0.000000,0.000000,0.000000
20.600638,0.080000,0.080000,0.020000,0.000000,0.000000,0.000000
20.620684,0.220000,0.120000,-0.040000,-0.020000,0.000000,0.000000
20.640599,0.080000,0.000000,0.060000,0.000000,0.000000,0.000000
20.660651,0.120000,-0.020000,0.120000,0.000000,0.000000,0.000000
20.680573,0.100000,0.060000,-0.060000,0.000000,0.000000,0.000000
20.700625,0.060000,-0.060000,0.000000,0.000000,0.000000,0.000000
20.720684,0.160000,0.080000,0.120000,0.000000,0.000000,0.000000
20.740568,0.020000,0.120000,0.020000,0.000000,0.000000,0.000000
20.760664,0.180000,-0.080000,0.060000,0.000000,0.000000,0.000000
20.780686,0.040000,0.140000,0.000000,0.000000,0.000000,0.000000
20.800613,0.000000,0.180000,-0.060000,0.000000,0.000000,0.000000
20.820676,0.020000,-0.120000,0.020000,0.000000,0.000000,0.000000
20.840680,0.160000,0.020000,0.000000,0.000000,0.000000,0.000000
20.860604,0.040000,0.020000,0.060000,0.000000,0.000000,0.000000
20.880672,0.040000,-0.020000,0.000000,0.000000,0.000000,0.000000
20.900709,0.140000,0.000000,0.000000,0.000000,0.000000,0.000000
20.920606,0.200000,0.000000,0.080000,0.000000,0.000000,0.000000
20.940677,0.240000,-0.120000,0.180000,0.000000,0.020000,0.000000
20.960730,0.100000,0.060000,-0.360000,0.000000,0.000000,0.000000
20.980789,0.080000,0.020000,0.060000,0.000000,0.000000,0.000000
21.000774,0.120000,-0.100000,0.000000,0.000000,0.000000,0.000000
21.020765,0.120000,0.080000,0.100000,0.000000,0.000000,0.000000
21.040662,0.140000,-0.020000,0.080000,0.000000,0.000000,0.000000
21.060744,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000
21.080780,0.120000,0.000000,0.060000,0.000000,0.000000,0.000000
21.100699,0.060000,-0.080000,0.000000,0.000000,0.000000,0.000000
21.120611,0.200000,0.080000,0.060000,0.000000,0.000000,0.000000
21.140664,0.140000,-0.040000,0.320000,0.000000,0.000000,0.000000
21.160702,0.080000,0.060000,0.040000,0.000000,0.000000,0.000000
21.180602,0.240000,0.000000,0.380000,0.000000,0.020000,0.000000
21.200666,0.200000,0.060000,-0.080000,0.000000,0.000000,0.000000
21.220593,0.100000,0.020000,0.140000,0.000000,0.000000,0.000000
21.240617,0.060000,0.000000,0.000000,0.000000,0.000000,0.000000
21.260714,0.000000,0.000000,-0.020000,0.000000,0.000000,0.000000
21.280621,0.000000,0.060000,0.020000,0.000000,0.000000,0.000000
21.300648,0.080000,0.060000,0.000000,0.000000,0.000000,0.000000
21.320578,0.060000,-0.080000,0.140000,0.000000,0.000000,0.000000
21.340626,0.140000,0.060000,0.140000,0.000000,0.000000,0.000000
21.360683,0.080000,0.000000,0.000000,0.000000,0.000000,0.000000
21.380575,0.060000,0.000000,0.060000,0.000000,0.000000,0.000000
21.400630,0.100000,0.020000,0.060000,0.000000,0.000000,0.000000
21.420546,0.120000,0.000000,-0.020000,0.000000,0.000000,0.000000
21.440607,-0.060000,0.000000,-0.020000,0.000000,0.000000,0.000000
21.460654,0.280000,0.060000,-0.020000,0.000000,0.020000,0.000000
21.480711,0.120000,0.060000,-0.080000,0.000000,0.000000,0.000000
21.500622,0.000000,0.000000,0.120000,0.000000,0.000000,0.000000
21.520679,0.000000,0.080000,-0.100000,0.000000,0.000000,0.000000
21.540613,0.080000,-0.060000,0.220000,0.000000,0.000000,0.000000
21.560660,0.160000,0.000000,0.040000,0.000000,0.000000,0.000000
21.580701,0.080000,0.000000,0.000000,0.000000,0.000000,0.000000
21.600636,0.180000,-0.160000,0.100000,0.000000,0.020000,0.000000
21.620681,-0.060000,0.260000,0.060000,0.000000,0.020000,0.000000
21.640596,0.100000,-0.060000,0.000000,0.000000,0.000000,0.000000
21.660637,-0.020000,0.120000,0.200000,0.000000,0.000000,0.000000
21.680693,-0.020000,0.200000,0.040000,-0.020000,0.000000,0.000000
21.700756,0.120000,0.080000,0.240000,0.000000,0.000000,0.000000
21.720681,0.240000,0.140000,0.240000,0.000000,0.000000,0.000000
21.740710,0.000000,0.200000,0.140000,-0.020000,0.000000,0.000000
21.760639,0.200000,0.140000,0.300000,-0.020000,0.000000,0.000000
21.780743,0.020000,0.100000,0.340000,0.000000,0.000000,0.000000
21.800607,0.020000,0.160000,-0.080000,-0.020000,0.000000,0.000000
21.820641,0.040000,0.080000,0.340000,0.000000,0.000000,0.000000
21.840692,0.000000,-0.020000,0.060000,0.000000,0.000000,0.000000
21.860657,-0.060000,0.120000,0.260000,0.000000,0.000000,0.000000
21.880681,0.120000,0.020000,0.180000,0.000000,0.000000,0.000000
21.900734,0.120000,0.020000,0.200000,0.000000,0.000000,0.000000
21.920660,0.020000,0.160000,0.160000,0.000000,0.000000,0.000000
21.940701,0.280000,0.000000,0.100000,0.000000,0.020000,0.000000
21.960736,0.020000,0.040000,0.180000,0.000000,0.000000,0.000000
21.980749,-0.020000,0.180000,0.040000,-0.020000,0.000000,0.000000
22.000689,0.000000,0.020000,0.280000,0.000000,0.000000,0.000000
22.020626,0.200000,0.140000,0.180000,0.000000,0.000000,0.000000
22.040648,0.020000,0.040000,0.000000,0.000000,0.000000,0.000000
22.060597,0.040000,0.080000,-0.060000,0.000000,0.000000,0.000000
22.080645,0.040000,0.260000,0.000000,-0.020000,0.000000,0.000000
22.100571,0.040000,0.000000,-0.120000,0.000000,0.000000,0.000000
22.120618,0.040000,0.060000,0.100000,0.000000,0.000000,0.000000
22.140659,0.020000,0.020000,-0.020000,0.000000,0.000000,0.000000
22.160576,0.200000,-0.040000,0.000000,0.000000,0.000000,0.000000
22.180648,0.140000,0.020000,0.060000,0.000000,0.000000,0.000000
22.200536,0.140000,0.180000,0.120000,-0.020000,0.000000,0.000000
22.220610,0.140000,-0.060000,0.020000,0.000000,0.000000,0.000000
22.240659,0.020000,0.000000,0.120000,0.000000,0.000000,0.000000
22.260698,0.020000,0.000000,-0.140000,0.000000,0.000000,0.000000
22.280610,-0.040000,0.120000,0.000000,0.000000,0.000000,0.000000
22.300665,0.200000,0.060000,0.000000,0.000000,0.000000,0.000000
22.320588,0.060000,0.140000,0.120000,0.000000,0.000000,0.000000
22.340628,-0.080000,0.040000,0.060000,0.000000,0.000000,0.000000
22.360716,0.160000,0.120000,-0.180000,-0.020000,0.000000,0.000000
22.380617,0.040000,-0.060000,0.180000,0.000000,0.000000,0.000000
22.400643,0.340000,-0.040000,0.280000,0.000000,0.020000,0.000000
22.420712,0.060000,0.000000,0.080000,0.000000,0.000000,0.000000
22.440627,0.100000,0.060000,0.000000,0.000000,0.000000,0.000000
22.460681,0.080000,0.080000,-0.200000,0.000000,0.000000,0.000000
22.480755,0.180000,-0.040000,0.240000,0.000000,0.000000,0.000000
22.500655,0.200000,0.000000,-0.100000,0.000000,0.000000,0.000000
22.520708,0.060000,-0.020000,0.180000,0.000000,0.000000,0.000000
22.540743,0.120000,0.000000,0.180000,0.000000,0.000000,0.000000
22.560663,0.020000,0.000000,0.060000,0.000000,0.000000,0.000000
22.580719,0.100000,0.020000,-0.200000,0.000000,0.000000,0.000000
22.600636,0.100000,0.120000,0.100000,0.000000,0.000000,0.000000
22.620689,0.040000,0.060000,-0.080000,0.000000,0.000000,0.000000
22.640584,-0.060000,0.020000,-0.180000,0.000000,0.000000,0.000000
22.660646,-0.080000,-0.020000,-0.020000,0.000000,0.000000,0.000000
22.680698,0.000000,0.220000,0.080000,-0.020000,0.000000,0.000000
22.700627,0.100000,0.120000,0.020000,0.000000,0.000000,0.000000
22.720658,0.040000,0.120000,0.220000,0.000000,0.000000,0.000000
22.740825,0.080000,0.120000,-0.080000,0.000000,0.000000,0.000000
22.760645,0.140000,0.120000,0.120000,0.000000,0.000000,0.000000
22.780671,-0.060000,0.120000,0.140000,-0.020000,0.000000,0.000000
22.800618,-0.020000,0.180000,-0.060000,-0.020000,0.000000,0.000000
22.820662,-0.060000,0.120000,-0.120000,-0.020000,0.000000,0.000000
22.840773,0.060000,0.080000,0.060000,0.000000,0.000000,0.000000
22.860642,-0.040000,0.180000,0.040000,-0.020000,0.000000,0.000000
22.880715,0.060000,0.020000,-0.020000,0.000000,0.000000,0.000000
22.900587,0.000000,0.060000,0.000000,0.000000,0.000000,0.000000
22.920641,0.020000,0.100000,0.200000,0.000000,0.000000,0.000000
